title,artist,nationality,date,medium,classification,department,object_id,url,image_url
19,Ed Baynard,(American),1977,Hand-colored pochoir,Print,Drawings & Prints,60449,https://www.moma.org/collection/works/60449,https://www.moma.org/media/W1siZiIsIjIxNzc3MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=af0d5dd00fcfb314
"Pragati Maidan: Hall of Nations and Halls of Industries for the India International Trade Fair, New Delhi, India (Elevations)",Raj Rewal,(Indian),1970,working drawing on tracing paper,Architecture,Architecture & Design,274532,정보없음,정보없음
18 October 1987 Sketchbook #7,Robert Motherwell,(American),1987,Conté crayon on plastic sheet,Drawing,Drawings & Prints,37660,https://www.moma.org/collection/works/37660,https://www.moma.org/media/W1siZiIsIjE2ODczNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=38a93ec1707a1f78
"Reichsbank Project, Berlin-Mitte, Germany (Partial floor plan. Numerous sketches.)",Ludwig Mies van der Rohe,(American),1933,"Pencil, red and blue Pencil on tracing paper",Mies van der Rohe Archive,Architecture & Design,482110,정보없음,정보없음
Untitled,Cindy Sherman,(American),1982,Chromogenic print,Photograph,Photography,102905,https://www.moma.org/collection/works/102905,https://www.moma.org/media/W1siZiIsIjIzNDA0MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=b62410b52387ac83
"MOB OF PEASANTS, plate XXVIII (facing page 114) from LES ÂMES MORTES",Marc Chagall,(French),1923-1948,"Etching and drypoint, printed in black",Illustrated Book,Drawings & Prints,22469,정보없음,정보없음
LONGPONT,Eugène Atget,(French),1902,Albumen silver print,Photograph,Photography,39050,정보없음,정보없음
Untitled (Das Beste der Schweiz),"Kelley Walker, Wade Guyton, Guyton\Walker",(American) (American) (American),(2004),Printed paper,Drawing,Drawings & Prints,97675,https://www.moma.org/collection/works/97675,https://www.moma.org/media/W1siZiIsIjEzMzY0NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=09a4af9f78910058
Box and Lid,"Conran Associates, Martin Roberts",(British) (British),1974,ABS polymer,Design,Architecture & Design,4314,https://www.moma.org/collection/works/4314,정보없음
(Untitled),Jirí Kolár,(Czech),(early 1950s),Collage of cut and pasted paper (wood engraving cut in strips to form a college),Drawing,Drawings & Prints,37825,정보없음,정보없음
"Page from Sketchbook #27, New York City",Ellsworth Kelly,(American),1954-58,"Page from a sketchbook with pencil, ink, felt-tip pen, watercolor, and cut-and-pasted colored and printed paper",Notebook,Drawings & Prints,440623,정보없음,정보없음
NASR-ED-DIN OF PERSIA (1831?-1896),Nadar (Gaspard-Félix Tournachon),(French),1865-85,Woodburytype (carte de visite),Photograph,Photography,47552,정보없음,정보없음
Mexico City 1968 Olympics graphics - Ballet Programs,"Lance Wyman, Department of Publications and Urban Design, Organizing Committee of the XIX Olympiad, Beatrice Trueblood, Huberto Batis, Eduardo Terrazas",(American) () (British) (Mexican) (Mexican),1968,Lithographs,Design,Architecture & Design,182361,정보없음,정보없음
Wood block for plate from À toute épreuve (Proof Against All),Joan Miró,(Spanish),"1947–58, published 1958",Wood block,Illustrated Book,Drawings & Prints,10925,https://www.moma.org/collection/works/10925,https://www.moma.org/media/W1siZiIsIjQ0NTE0NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=3eef82bc4906d66b
The Lament of the Sugar Bush Man,Rhonda Abrams,(Canadian),1987,"Video (color, sound)",Video,Media and Performance,107278,https://www.moma.org/collection/works/107278,https://www.moma.org/media/W1siZiIsIjEyNzA3NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=46b55ab1397fee1d
Sei illustrazioni per gli scritti sull'arte antica di Johann J. Winckelmann,Giulio Paolini,(Italian),1977,"Folio; six double-page illustrations printed in lithography and silkscreen; paper over boards, typographic dust jacket, glassine wrapper; housed in the original printed board folder with ties, label affixed to recto",Illustrated Book,Drawings & Prints,434563,정보없음,정보없음
Patriotic propaganda postcard with verse by Vladimir Mayakovsky,Vladimir Mayakovsky (Владимир Маяковский),(Russian),1914,Lithograph,Illustrated Book,Drawings & Prints,180856,https://www.moma.org/collection/works/180856,https://www.moma.org/media/W1siZiIsIjI5NTk4OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=ca2b494ab9581458
Italian travel poster,Unknown artist,(),1900-1943,Poster,Design,Architecture & Design,6369,정보없음,정보없음
Two Stage Transfer Drawing (Retreating to a Past State) from Program Six,Dennis Oppenheim,(American),1971,"Super 8mm film transferred to video (color, silent)",Video,Media and Performance,120490,https://www.moma.org/collection/works/120490,https://www.moma.org/media/W1siZiIsIjE1MTc2NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=63f15def99c2d7c1
Hold My Bones Together,Louise Bourgeois,(American),1999-2002,Drypoint,Print,Drawings & Prints,119334,정보없음,정보없음
Bloodbath,Barnaby Furnas,(American),2003,Watercolor and ink on paper,Drawing,Drawings & Prints,95966,https://www.moma.org/collection/works/95966,https://www.moma.org/media/W1siZiIsIjExMTA3MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=e09919a1a0c19647
Untitled,Robert Barry,(American),(1975),Prestype and ink on paper,Drawing,Drawings & Prints,36892,https://www.moma.org/collection/works/36892,https://www.moma.org/media/W1siZiIsIjI0MDg1NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=32bb6f86b87b959a
Tuileries - Cote Louvre,Eugène Atget,(French),1912,Albumen silver print,Photograph,Photography,41753,정보없음,정보없음
"Natura Morta with Parrots, Studio Mumbai, Mumbai from the portfolio Four Five Six",Stefano Graziani,(Italian),2025,Serigraph,Architecture,Architecture & Design,510995,https://www.moma.org/collection/works/510995,https://www.moma.org/media/W1siZiIsIjYyNzUzMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=2bc40529b7050aa7
40/4 Stacking Chair,David Rowland,(American),1964,"Chrome-plated steel rod, vinyl-coated steel sheet, and plastic glides",Design,Architecture & Design,3071,https://www.moma.org/collection/works/3071,https://www.moma.org/media/W1siZiIsIjUzOTkxOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=bda01f8d86fee49f
Turn This Page from Fluxus 1,Ben Vautier,(French),"1962, assembled c.1965",Double-sided offset,Illustrated Book,Drawings & Prints,279835,정보없음,정보없음
Untitled,Marcel Jean,(French),1937,Ink on paper,Drawing,Drawings & Prints,33143,https://www.moma.org/collection/works/33143,https://www.moma.org/media/W1siZiIsIjEyNDk1MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=e8f2d3f76242f0ae
"Announcement card for New Designs: Birth, Death and Abortion, Andrew Roth, Inc., New York, February 3–March 5, 2005",Aleksandra Mir,(American),2005,Invitation card,Ephemera,Drawings & Prints,166519,https://www.moma.org/collection/works/166519,https://www.moma.org/media/W1siZiIsIjQ1NjA2OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=0aca84fe39a5f9e9
Untitled from Architectonic vs. HR,Santiago Cucullu,(Argentine),2006,One screenprint and lithograph from a portfolio of twelve screenprint and lithographs and one woodcut on fabric,Print,Drawings & Prints,106197,https://www.moma.org/collection/works/106197,https://www.moma.org/media/W1siZiIsIjU3NjAxMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=7406aa27111fe804
Panel from Let's Take Back Our Space: 'Female' and 'Male' Body Language as a Result of Patriarchal Structures,Marianne Wex,(German),1977,"Gelatin silver prints, paper and ink on board",Photograph,Photography,295626,https://www.moma.org/collection/works/295626,https://www.moma.org/media/W1siZiIsIjQ5ODM1MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=1697ee236cdd0b82
Cosmic Presence,Emma Lu Davis,(American),1934,Painted wood,Sculpture,Painting & Sculpture,80797,https://www.moma.org/collection/works/80797,https://www.moma.org/media/W1siZiIsIjUxNzYwMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=62533a4d47e6950c
Odalisque in Red Satin Pantaloons (Odalisque à la culotte de satin rouge),Henri Matisse,(French),1925,Lithograph,Print,Drawings & Prints,68994,https://www.moma.org/collection/works/68994,https://www.moma.org/media/W1siZiIsIjIxMjIwMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=11a2d4c77c052633
In-text plate (page 99) from L'Évangile (The Gospel),Léo Marchutz,(French),"1947–49, published 1949",Lithograph from an illustrated book with eighty-six lithographs (including wrapper) and a supplementary suite of four drawings,Illustrated Book,Drawings & Prints,28087,https://www.moma.org/collection/works/28087,정보없음
I Continue Sleeping,Ikkō Narahara [奈良原一高],(Japanese),1969,"Etching, drypoint and mezzotint",Print,Drawings & Prints,61987,https://www.moma.org/collection/works/61987,https://www.moma.org/media/W1siZiIsIjIyMjg4NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=260bad6d30e3873b
Text,LaToya Ruby Frazier,(American),2019,Gelatin silver print,Photograph,Photography,451328,https://www.moma.org/collection/works/451328,https://www.moma.org/media/W1siZiIsIjU1NDM2NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=0b3d7e7eb5210098
Sketchbook,Robert Overby,(American),1972,"Gouache, pencil and mixed media on paper",Drawing,Drawings & Prints,38508,https://www.moma.org/collection/works/38508,https://www.moma.org/media/W1siZiIsIjI4ODkxNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=24a355b85d33ae3c
Lugar de Consuelo (Place of Solace),Naufus Ramírez-Figueroa,(Guatemalan),2020,"High-definition video (color, sound)",Video,Media and Performance,448300,정보없음,정보없음
Unidentfied Project (Unidentified sketch.),Ludwig Mies van der Rohe,(American),n.d.,Pencil on paper,Mies van der Rohe Archive,Architecture & Design,471215,정보없음,정보없음
Untitled from the Museum in Progress project The Message as Medium,"Various Artists, Heimo Zobernig, Clegg and Guttmann, Christian Philipp Müller, Mark Dion, Werner Büttner, Michael Krebber, Thomas Locher, Stephen Prina, Fareed Armaly, Andrea Fraser",() (Austrian) (Irish) (Swiss) (American) (German) (German) (German) (American) (American) (American),1990-1991,Ten Cash Flow magazines,Print,Drawings & Prints,111270,https://www.moma.org/collection/works/111270,https://www.moma.org/media/W1siZiIsIjIyNDUwOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=a1cc05d466cc2d1d
Conchoidal Chair without Arms (Perspective and elevation sketches),Ludwig Mies van der Rohe,(American),early 1940s,Ink on paper,Mies van der Rohe Archive,Architecture & Design,106972,https://www.moma.org/collection/works/106972,https://www.moma.org/media/W1siZiIsIjIyMjA3MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=0cbd22bc88a74a10
In-text plate (folio 10; duplicate of folio 6) from Air Mexicain,Rufino Tamayo,(Mexican),1952,Linoleum cut from an illustrated book with four lithographs and twenty-seven linoleum cuts; and supplementary woodcut,Illustrated Book,Drawings & Prints,31109,정보없음,정보없음
Fabric (no. 13305),Marli Ehrman,(American),c. 1940,Woven cotton,Design,Architecture & Design,4522,https://www.moma.org/collection/works/4522,https://www.moma.org/media/W1siZiIsIjIzMDYwOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=9639bfb36efe922b
Gradiva Letterhead,Unidentified Designer,(),c.1937,Letterpress,Design,Architecture & Design,198506,https://www.moma.org/collection/works/198506,https://www.moma.org/media/W1siZiIsIjM0Mjg2NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=6f2b12b953e7e37a
Variant of Head of a Girl (Tête de jeune fille) from Du Cubisme (On Cubism),Marie Laurencin,(French),1947,"Etching and drypoint from the supplementary suite of an illustrated book with seven etchings (two with engraving, one with drypoint, one with both), three drypoints, two aquatint and engravings, and a supplementary suite of twenty-two plates",Illustrated Book,Drawings & Prints,31732,https://www.moma.org/collection/works/31732,https://www.moma.org/media/W1siZiIsIjE4OTU4NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=c4cf89c292a84698
Projection of a Dog,Antonio Segui,(Argentine),1966,Lithograph,Print,Drawings & Prints,78222,https://www.moma.org/collection/works/78222,https://www.moma.org/media/W1siZiIsIjE5MjI5NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=1aaab8fa89ac123a
Barrel with Rockets,Roman Signer,(Swiss),1981,"Super 8mm film transferred to video (color, silent)",Video,Media and Performance,114679,https://www.moma.org/collection/works/114679,https://www.moma.org/media/W1siZiIsIjE0NjM4NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=dbd09de355d5151d
Headpiece (folio 82) from Les Amours (The Loves),Émile Bernard,(French),1915,Woodcut from an illustrated book with 157 woodcuts and 17 etchings (including wrapper front),Illustrated Book,Drawings & Prints,20772,https://www.moma.org/collection/works/20772,https://www.moma.org/media/W1siZiIsIjE3MTY2MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=eb21e07cbc69a5af
"Lafayette Towers, Lafayette Park, Detroit, Ml (Garage roof deck gate. Plan, elevations.)",Ludwig Mies van der Rohe,(American),1960,Pencil on acetate,Mies van der Rohe Archive,Architecture & Design,464976,정보없음,정보없음
"Miss Edwards in Front of Indian Rock, Lookout Mountain",Mathew B. Brady (studio of),(American),1860-65,Gelatin silver print,Photograph,Photography,49761,정보없음,정보없음
Plate (folio 19) from LA MÉMOIRE ET LA MAIN,Eduardo Chillida,(Spanish),1986,"Etching, printed in black",Illustrated Book,Drawings & Prints,11505,정보없음,정보없음
"Plate 1 of 11, from the illustrated book, He Disappeared into Complete Silence, second edition",Louise Bourgeois,(American),1995-2003,Engraving and aquatint over photogravure,Print,Drawings & Prints,150720,https://www.moma.org/collection/works/150720,https://www.moma.org/media/W1siZiIsIjI3NDIwMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=5df0a2515d93a710
The sulfonamides...,Rolf Harder,(Canadian),c. 1963,Lithograph,Design,Architecture & Design,109229,https://www.moma.org/collection/works/109229,https://www.moma.org/media/W1siZiIsIjE3MjI1MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=a7cfce34a3d61eb7
"Robert H. McCormick House, Elmhurst, IL (Plan, elevations, sectins, exterior details)",Ludwig Mies van der Rohe,(American),1951,Pencil on paper,Mies van der Rohe Archive,Architecture & Design,275894,https://www.moma.org/collection/works/275894,https://www.moma.org/media/W1siZiIsIjQyNTM0MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=df80e4aeaaad6d73
Postal Dossier (Dossier postale),Alighiero Boetti,(Italian),1969-70,Paperboard folder containing photocopies,Print,Drawings & Prints,167356,https://www.moma.org/collection/works/167356,https://www.moma.org/media/W1siZiIsIjU0Nzc0MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=fb33a2a78cc1f1a0
"Variant of plate facing page 342 (supplementary suite, plate 29) from L'ODYSSÉE",Émile Bernard,(French),1930,"Woodcut, printed in black",Illustrated Book,Drawings & Prints,20736,정보없음,정보없음
"IIT Lewis Institute Building, Chicago, IL (Elevation.)",Ludwig Mies van der Rohe,(American),1945,Pencil and colored pencil on paper,Mies van der Rohe Archive,Architecture & Design,458800,정보없음,정보없음
Perspective Corrections,Jan Dibbets,(Dutch),1967–98,Gelatin silver print,Photograph,Photography,181750,https://www.moma.org/collection/works/181750,https://www.moma.org/media/W1siZiIsIjMxMjU1OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=001fdb702c1e5ade
Hubbe-related Study,Ludwig Mies van der Rohe,(American),1934-1935,Ink on paper,Mies van der Rohe Archive,Architecture & Design,170086,https://www.moma.org/collection/works/170086,https://www.moma.org/media/W1siZiIsIjI3MjEwNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=f14b5fd148e6c874
The American War,Harrell Fletcher,(American),2005,Inkjet prints,Photograph,Photography,119180,https://www.moma.org/collection/works/119180,https://www.moma.org/media/W1siZiIsIjIzODk4NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=296fd3236a29228e
"Sculpture Vivante (Living Sculpture), Festival of Misfits, Gallery One, London, October 23- November 8, 1962",Ben Vautier,(French),1962,Gelatin silver print,Photograph,Drawings & Prints,229529,https://www.moma.org/collection/works/229529,https://www.moma.org/media/W1siZiIsIjU1OTYwOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=4eb2c493c601922e
Untitled (Lily Graffiti),"Ed Templeton, Deanna Templeton",(American) (American),2004,Gelatin silver print,Photograph,Photography,430600,https://www.moma.org/collection/works/430600,https://www.moma.org/media/W1siZiIsIjUyNTI5OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=7fa541d1b521c3d3
Christa on Edge of Bathtub,Ilse Bing,(American),1934,Gelatin silver print,Photograph,Photography,407376,https://www.moma.org/collection/works/407376,https://www.moma.org/media/W1siZiIsIjQ5MjAyMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=c9d906b8af597299
Hinter der Mauer,Johann Hahn,(German),1871,Albumen silver print,Photograph,Photography,48327,https://www.moma.org/collection/works/48327,https://www.moma.org/media/W1siZiIsIjE1NzAzMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=18bbb301f959ea7e
"Reichsbank Project, Berlin-Mitte, Germany (Partial floor plan sketches.)",Ludwig Mies van der Rohe,(American),1933,Red wax Pencil on tracing paper,Mies van der Rohe Archive,Architecture & Design,482153,정보없음,정보없음
Palm Sheath,William Brice,(American),1947,Ink and conté crayon on paper,Drawing,Drawings & Prints,33522,https://www.moma.org/collection/works/33522,정보없음
Greece Summer,Brice Marden,(American),1974,Ink on paper,Drawing,Drawings & Prints,102365,https://www.moma.org/collection/works/102365,https://www.moma.org/media/W1siZiIsIjEwODk0OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=c096d749d43b4010
Rembrandt,Roe Ethridge,(American),2010,Chromogenic print,Photograph,Photography,156623,https://www.moma.org/collection/works/156623,https://www.moma.org/media/W1siZiIsIjIzNjYxMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=c8af13e21ed276eb
"75. Boerum Pl. and Schermerhorn (New York City Transit Authority Building), Brooklyn, from the series Property Lines, New York",Francisca Benítez,(Chilean),2008,Graphite rubbing on paper,Drawing,Drawings & Prints,498594,정보없음,정보없음
Unidentfied Project (Structural detail. Sketch.),Ludwig Mies van der Rohe,(American),n.d.,Pencil on paper,Mies van der Rohe Archive,Architecture & Design,470569,정보없음,정보없음
Panels for the Walls of the World: Phase II,Stan VanDerBeek,(American),1970,Xerox Telecopier II fax transmission,Print,Drawings & Prints,497559,정보없음,정보없음
"Esplanade Apartment Buildings, Chicago, IL (Ground-floor plan.)",Ludwig Mies van der Rohe,(American),1953—1956,Pencil and colored pencil on paper,Mies van der Rohe Archive,Architecture & Design,463364,정보없음,정보없음
Dial-A-Poem,John Giorno,(American),1968/2012,"Recordings of 200 poems by 80 poets, four telephones; original answering machine, telephone, reel-to-reel tape recorders, and microphone; printed and handwritten ephemera",Installation,Media and Performance,294325,https://www.moma.org/collection/works/294325,https://www.moma.org/media/W1siZiIsIjUxNDIwMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=75aacf986db9fc4d
